City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,299.18,78,75,2.57,CK,1715549655
1,grytviken,-54.2811,-36.5092,270.7,78,30,5.88,GS,1715549655
2,leava,-14.3,-178.1667,301.48,77,99,11.78,WF,1715549655
3,yellowknife,62.456,-114.3525,280.6,68,40,7.72,CA,1715549656
4,port-aux-francais,-49.35,70.2167,276.6,76,97,10.39,TF,1715549656
5,college,64.8569,-147.8028,287.29,34,75,2.06,US,1715549656
6,puerto natales,-51.7236,-72.4875,273.4,80,0,1.03,CL,1715549656
7,natitingou,10.3042,1.3796,299.59,70,66,0.43,BJ,1715549656
8,vorgashor,67.5833,63.95,264.71,95,84,5.82,RU,1715549657
9,praia da vitoria,38.7333,-27.0667,293.29,77,75,3.94,PT,1715549657
10,aroma,15.8167,36.1333,309.96,27,69,3.95,SD,1715549657
11,broome,42.2506,-75.833,287.15,78,75,1.54,US,1715549657
12,enewetak,11.3474,162.3373,300.59,84,100,8.68,MH,1715549658
13,atafu village,-8.5421,-172.5159,302.67,72,28,6.66,TK,1715549658
14,iqaluit,63.7506,-68.5145,267.0,58,75,6.17,CA,1715549658
15,nove zamky,47.9854,18.1619,289.83,51,94,3.49,SK,1715549658
16,anadyr,64.75,177.4833,274.43,80,100,4.0,RU,1715549659
17,bethel,41.3712,-73.414,287.2,68,100,2.57,US,1715549659
18,ushuaia,-54.8,-68.3,277.96,60,40,12.35,AR,1715549659
19,kyrenia,35.3417,33.3167,290.9,71,0,8.83,CY,1715549659
20,caleta de carquin,-11.0925,-77.6267,292.66,82,91,3.62,PE,1715549659
21,edinburgh of the seven seas,-37.0676,-12.3116,288.59,92,97,6.54,SH,1715549660
22,stettler,52.3168,-112.7186,291.02,63,87,2.66,CA,1715549660
23,antalaha,-14.9003,50.2788,297.69,82,68,4.13,MG,1715549660
24,longyearbyen,78.2186,15.6401,274.06,64,75,5.14,SJ,1715549660
25,adamstown,-25.066,-130.1015,293.45,64,0,2.66,PN,1715549661
26,badger,64.8,-147.5333,287.24,33,0,2.06,US,1715549661
27,bilibino,68.0546,166.4372,273.74,97,100,3.68,RU,1715549661
28,zykovo,55.9519,93.1461,282.94,69,66,1.63,RU,1715549661
29,xining,36.6167,101.7667,284.01,41,0,0.99,CN,1715549579
30,port mathurin,-19.6833,63.4167,298.46,72,5,8.48,MU,1715549662
31,waitangi,-43.9535,-176.5597,284.16,89,89,4.47,NZ,1715549662
32,taulaga,-11.0553,-171.0883,301.83,78,46,7.01,AS,1715549662
33,west island,-12.1568,96.8225,300.14,89,75,4.12,CC,1715549662
34,brookings,44.3114,-96.7984,300.34,36,0,7.2,US,1715549457
35,kenai,60.5544,-151.2583,281.01,72,100,3.6,US,1715549663
36,glace bay,46.1969,-59.957,280.81,88,75,2.68,CA,1715549663
37,pekan,3.4836,103.3996,300.21,89,59,0.9,MY,1715549663
38,cannonvale,-20.2833,148.7,295.81,88,37,5.13,AU,1715549663
39,hithadhoo,-0.6,73.0833,302.46,77,100,4.72,MV,1715549664
40,papatowai,-46.5619,169.4708,283.12,89,100,2.53,NZ,1715549664
41,timbuktu,16.7735,-3.0074,306.45,17,3,4.43,ML,1715549664
42,whitehorse,60.7161,-135.0538,283.2,51,75,6.17,CA,1715549664
43,lebu,-37.6167,-73.65,283.15,75,1,5.85,CL,1715549665
